"","Value","Totals >> G","Totals >> GS","Totals >> MP","Totals >> FG","Totals >> FGA","Totals >> 3P","Totals >> 3PA","Totals >> FT","Totals >> FTA","Totals >> ORB","Totals >> TRB","Totals >> AST","Totals >> STL","Totals >> BLK","Totals >> TOV","Totals >> PF","Totals >> PTS","Shooting >> FG%","Shooting >> FT%","Advanced >> TS%","Advanced >> USG%","Advanced >> ORtg","Advanced >> DRtg","Per Game >> MP","Per Game >> PTS","Per Game >> TRB","Per Game >> AST","player_id","Shooting >> 3P%","Split"
"1552","Phoenix","14","12","457","94","203","1","5","56","69","39","105","15","9","20","35","40","245",".463",".812",".525","26.5","101","107","32.6","17.5","7.5","1.1","lopezbr01",".200",NA
"1553","Portland","13","13","433","128","218","2","5","53","64","39","92","22","13","12","23","41","311",".587",".828",".632","28.8","126","115","33.3","23.9","7.1","1.7","lopezbr01",".400",NA
"1554","Sacramento","14","12","450","92","200","3","8","62","72","44","116","22","6","34","29","48","249",".460",".861",".537","26.1","109","106","32.1","17.8","8.3","1.6","lopezbr01",".375",NA
"1555","San Antonio","14","14","449","85","185","0","2","49","55","42","104","33","8","18","19","36","219",".459",".891",".523","24.6","109","112","32.1","15.6","7.4","2.4","lopezbr01",".000",NA
"1556","Toronto","23","21","780","197","375","0","6","104","127","78","182","40","13","50","50","74","498",".525",".819",".578","28.2","115","114","33.9","21.7","7.9","1.7","lopezbr01",".000",NA
"1557","Utah","14","13","429","90","183","1","7","46","62","32","91","11","12","26","30","44","227",".492",".742",".540","26.0","102","109","30.7","16.2","6.5","0.8","lopezbr01",".143",NA
"1558","Washington","23","20","739","150","295","3","10","101","131","63","167","39","11","41","48","71","404",".508",".771",".573","24.6","113","107","32.1","17.6","7.3","1.7","lopezbr01",".300",NA
"1559","Total","596","448","13459","2084","3943","0","5","936","1232","1502","3288","391","154","760","610","1242","5104",".529",".760",".569","17.0","115","108","22.6","8.6","5.5","0.7","lopezro01",".000",NA
"1560","Home","302","227","6781","1071","2017","0","2","491","630","791","1734","204","75","377","309","581","2633",".531",".779",".574","17.2","116","107","22.5","8.7","5.7","0.7","lopezro01",".000",NA
"1561","Road","294","221","6677","1013","1926","0","3","445","602","711","1554","187","79","383","301","661","2471",".526",".739",".564","16.9","113","109","22.7","8.4","5.3","0.6","lopezro01",".000",NA
"1562","Pre","377","298","8604","1336","2535","0","2","549","734","944","2070","258","102","473","393","811","3221",".527",".748",".564","17.0","113","108","22.8","8.5","5.5","0.7","lopezro01",".000",NA
"1563","Post","219","150","4854","748","1408","0","3","387","498","558","1218","133","52","287","217","431","1883",".531",".777",".579","17.1","117","108","22.2","8.6","5.6","0.6","lopezro01",".000",NA
"1564","Win","304","229","6976","1113","2052","0","3","521","674","794","1749","198","85","413","310","664","2747",".542",".773",".585","17.1","119","103","22.9","9.0","5.8","0.7","lopezro01",".000",NA
"1565","Loss","292","219","6482","971","1891","0","2","415","558","708","1539","193","69","347","300","578","2357",".513",".744",".552","17.0","110","114","22.2","8.1","5.3","0.7","lopezro01",".000",NA
"1566","October","15","13","346","50","106","0","0","18","25","44","88","17","4","22","18","34","118",".472",".720",".504","16.9","107","108","23.1","7.9","5.9","1.1","lopezro01",NA,NA
"1567","November","91","80","2232","319","658","0","1","127","166","246","563","80","33","136","113","203","765",".485",".765",".523","17.1","107","105","24.5","8.4","6.2","0.9","lopezro01",".000",NA
"1568","December","108","83","2459","369","654","0","0","145","185","262","569","74","27","127","114","229","883",".564",".784",".600","15.7","117","110","22.8","8.2","5.3","0.7","lopezro01",NA,NA
"1569","January","109","86","2463","403","754","0","0","162","222","254","553","67","21","127","104","236","968",".534",".730",".568","17.4","115","110","22.6","8.9","5.1","0.6","lopezro01",NA,NA
"1570","February","94","69","2053","349","642","0","2","172","233","239","543","37","34","116","80","190","870",".544",".738",".584","18.2","119","107","21.8","9.3","5.8","0.4","lopezro01",".000",NA
"1571","March","119","87","2579","392","751","0","1","197","252","318","644","70","23","148","117","228","981",".522",".782",".569","17.2","117","108","21.7","8.2","5.4","0.6","lopezro01",".000",NA
"1572","April","60","30","1327","202","378","0","1","115","149","139","328","46","12","84","64","122","519",".534",".772",".585","16.9","116","109","22.1","8.7","5.5","0.8","lopezro01",".000",NA
"1573","Sunday","83","64","1867","286","572","0","0","129","169","211","463","75","22","111","91","179","701",".500",".763",".542","17.8","111","107","22.5","8.4","5.6","0.9","lopezro01",NA,NA
"1574","Monday","71","51","1536","250","449","0","0","108","138","152","364","50","18","85","65","139","608",".557",".783",".596","16.8","119","108","21.6","8.6","5.1","0.7","lopezro01",NA,NA
"1575","Tuesday","76","56","1700","260","484","0","1","113","159","198","406","47","24","99","77","171","633",".537",".711",".571","16.7","115","110","22.4","8.3","5.3","0.6","lopezro01",".000",NA
"1576","Wednesday","128","98","2810","425","822","0","1","226","298","320","678","77","33","167","124","261","1076",".517",".758",".564","17.4","115","109","22.0","8.4","5.3","0.6","lopezro01",".000",NA
"1577","Thursday","44","30","964","150","288","0","0","53","67","116","253","19","11","51","48","95","353",".521",".791",".556","16.8","111","106","21.9","8.0","5.8","0.4","lopezro01",NA,NA
"1578","Friday","116","90","2650","402","769","0","3","166","224","268","623","65","26","139","124","244","970",".523",".741",".559","16.9","111","107","22.8","8.4","5.4","0.6","lopezro01",".000",NA
"1579","Saturday","78","59","1932","311","559","0","0","141","177","237","501","58","20","108","81","153","763",".556",".797",".599","16.6","122","109","24.8","9.8","6.4","0.7","lopezro01",NA,NA
"1580","Starter","448","448","11798","1862","3478","0","4","777","1007","1336","2907","363","127","646","526","978","4501",".535",".772",".574","17.0","116","108","26.3","10.0","6.5","0.8","lopezro01",".000",NA
"1581","Reserve","148","0","1661","222","465","0","1","159","225","166","381","28","27","114","84","264","603",".477",".707",".535","17.4","106","108","11.2","4.1","2.6","0.2","lopezro01",".000",NA
"1582","40+","5","5","212","31","63","0","1","12","14","23","59","9","2","7","10","10","74",".492",".857",".535","16.7","110","112","42.3","14.8","11.8","1.8","lopezro01",".000",NA
"1583","30-39","151","150","5114","797","1452","0","2","362","463","633","1345","160","48","307","199","338","1956",".549",".782",".591","16.3","122","107","33.9","13.0","8.9","1.1","lopezro01",".000",NA
"1584","20-29","209","194","5301","847","1536","0","2","336","448","561","1244","163","58","283","250","465","2030",".551",".750",".586","16.9","116","109","25.4","9.7","6.0","0.8","lopezro01",".000",NA
"1585","10-19","156","93","2422","366","784","0","0","193","261","239","544","57","41","134","123","328","925",".467",".739",".515","19.1","104","109","15.5","5.9","3.5","0.4","lopezro01",NA,NA
"1586","0-9","75","6","411","43","108","0","0","33","46","46","96","2","5","29","28","101","119",".398",".717",".464","17.2","88","109","5.5","1.6","1.3","0.0","lopezro01",NA,NA
"1587","0 Days","135","98","3133","522","963","0","0","241","313","361","804","86","33","180","144","271","1285",".542",".770",".584","18.0","117","108","23.2","9.5","6.0","0.6","lopezro01",NA,NA
"1588","1 Day","327","255","7488","1146","2189","0","2","477","624","819","1811","222","81","412","345","681","2769",".524",".764",".562","16.9","113","109","22.9","8.5","5.5","0.7","lopezro01",".000",NA
"1589","2 Days","78","61","1680","255","469","0","1","123","161","199","408","58","17","95","74","170","633",".544",".764",".586","16.4","118","109","21.5","8.1","5.2","0.7","lopezro01",".000",NA
"1590","3+ Days","47","28","943","131","262","0","2","80","111","96","212","18","19","62","37","99","342",".500",".721",".550","16.6","113","105","20.1","7.3","4.5","0.4","lopezro01",".000",NA
"1591","Eastern","241","195","5680","891","1654","0","2","386","507","631","1382","182","69","326","274","501","2168",".539",".761",".577","17.2","115","107","23.6","9.0","5.7","0.8","lopezro01",".000",NA
"1592","Western","355","253","7779","1193","2289","0","3","550","725","871","1906","209","85","434","336","741","2936",".521",".759",".563","16.9","115","109","21.9","8.3","5.4","0.6","lopezro01",".000",NA
"1593","Atlantic","79","63","1820","285","543","0","1","138","190","210","454","56","16","106","81","157","708",".525",".726",".565","17.4","115","106","23.0","9.0","5.7","0.7","lopezro01",".000",NA
"1594","Central","82","67","1913","306","576","0","1","128","163","220","482","65","32","116","102","181","740",".531",".785",".571","18.0","113","105","23.3","9.0","5.9","0.8","lopezro01",".000",NA
"1595","Northwest","117","87","2686","401","782","0","1","204","261","284","641","63","29","166","109","274","1006",".513",".782",".561","16.8","115","109","23.0","8.6","5.5","0.5","lopezro01",".000",NA
"1596","Pacific","114","83","2538","414","785","0","1","191","259","318","674","77","34","129","103","219","1019",".527",".737",".567","17.5","118","109","22.3","8.9","5.9","0.7","lopezro01",".000",NA
"1597","Southeast","80","65","1946","300","535","0","0","120","154","201","446","61","21","104","91","163","720",".561",".779",".597","16.1","117","109","24.3","9.0","5.6","0.8","lopezro01",NA,NA
"1598","Southwest","124","83","2555","378","722","0","1","155","205","269","591","69","22","139","124","248","911",".524",".756",".561","16.5","110","109","20.6","7.3","4.8","0.6","lopezro01",".000",NA
"1599","Atlanta","17","14","427","75","123","0","0","19","32","37","91","17","7","23","21","32","169",".610",".594",".616","16.6","117","108","25.1","9.9","5.4","1.0","lopezro01",NA,NA
"1600","Boston","17","13","389","53","110","0","0","40","56","53","106","11","0","17","22","27","146",".482",".714",".542","17.9","110","105","22.9","8.6","6.2","0.6","lopezro01",NA,NA
"1601","CHA, CHO","18","14","413","56","105","0","0","23","29","35","98","13","6","26","21","38","135",".533",".793",".573","15.1","110","111","23.0","7.5","5.4","0.7","lopezro01",NA,NA
"1602","Chicago","14","12","354","53","91","0","0","19","28","41","95","11","5","28","18","22","125",".582",".679",".605","16.0","117","105","25.3","8.9","6.8","0.8","lopezro01",NA,NA
"1603","Cleveland","19","13","351","56","115","0","0","20","25","36","70","7","7","16","25","45","132",".487",".800",".524","19.7","98","106","18.4","6.9","3.7","0.4","lopezro01",NA,NA
"1604","Dallas","29","19","602","92","168","0","0","28","36","64","152","13","3","32","32","52","212",".548",".778",".577","16.1","111","111","20.8","7.3","5.2","0.4","lopezro01",NA,NA
"1605","Denver","25","19","541","80","167","0","0","45","53","54","122","15","9","45","17","65","205",".479",".849",".539","16.8","116","108","21.6","8.2","4.9","0.6","lopezro01",NA,NA
"1606","Detroit","15","13","417","79","130","0","0","32","42","52","113","13","7","22","24","33","190",".608",".762",".640","19.6","123","104","27.8","12.7","7.5","0.9","lopezro01",NA,NA
"1607","Golden State","24","18","470","69","140","0","0","36","42","53","125","16","7","19","19","35","174",".493",".857",".549","16.5","115","111","19.6","7.3","5.2","0.7","lopezro01",NA,NA
"1608","Houston","23","15","417","66","115","0","1","25","35","45","98","10","5","26","14","54","157",".574",".714",".602","15.4","120","110","18.1","6.8","4.3","0.4","lopezro01",".000",NA
"1609","Indiana","17","16","442","61","132","0","1","35","44","55","129","19","10","33","19","43","157",".462",".795",".519","17.4","111","103","26.0","9.2","7.6","1.1","lopezro01",".000",NA
"1610","LA Clippers","25","17","557","100","186","0","0","40","59","82","151","15","6","14","24","42","240",".538",".678",".566","19.2","117","113","22.3","9.6","6.0","0.6","lopezro01",NA,NA
"1611","LA Lakers","28","19","626","100","182","0","0","40","54","70","159","18","11","45","21","58","240",".549",".741",".583","15.9","120","108","22.4","8.6","5.7","0.6","lopezro01",NA,NA
"1612","Memphis","24","17","546","75","154","0","0","38","55","62","125","8","7","30","27","53","188",".487",".691",".527","17.1","105","109","22.7","7.8","5.2","0.3","lopezro01",NA,NA
"1613","Miami","15","13","388","61","121","0","0","29","33","46","92","10","1","15","21","31","151",".504",".879",".557","18.8","110","111","25.9","10.1","6.1","0.7","lopezro01",NA,NA
"1614","Milwaukee","17","13","350","57","108","0","0","22","24","36","75","15","3","17","16","38","136",".528",".917",".574","17.5","114","109","20.6","8.0","4.4","0.9","lopezro01",NA,NA
"1615","Minnesota","24","17","582","86","158","0","0","51","60","64","149","19","5","38","36","67","223",".544",".850",".605","16.7","116","108","24.3","9.3","6.2","0.8","lopezro01",NA,NA
"1616","NJN, BRK","18","15","469","67","120","0","1","31","38","39","101","17","4","27","19","32","165",".558",".816",".603","15.2","120","107","26.1","9.2","5.6","0.9","lopezro01",".000",NA
"1617","NOH, NOP","22","15","425","62","118","0","0","35","41","46","95","19","3","27","28","50","159",".525",".854",".584","17.5","109","106","19.3","7.2","4.3","0.9","lopezro01",NA,NA
"1618","New York","12","9","266","42","87","0","0","16","23","37","61","5","5","15","14","31","100",".483",".696",".515","18.9","106","111","22.2","8.3","5.1","0.4","lopezro01",NA,NA
"1619","Oklahoma City","26","19","583","80","159","0","0","43","56","55","121","9","5","31","20","40","203",".503",".768",".553","15.9","113","114","22.4","7.8","4.7","0.3","lopezro01",NA,NA
"1620","Orlando","15","12","342","59","89","0","0","31","37","44","85","8","3","18","7","36","149",".663",".838",".708","15.2","147","109","22.8","9.9","5.7","0.5","lopezro01",NA,NA
"1621","Philadelphia","17","14","384","70","127","0","0","32","45","49","110","17","5","30","12","33","172",".551",".711",".586","18.0","125","101","22.6","10.1","6.5","1.0","lopezro01",NA,NA
"1622","Phoenix","12","12","342","52","99","0","0","25","39","44","99","13","5","27","14","27","129",".525",".641",".555","17.3","117","101","28.5","10.8","8.3","1.1","lopezro01",NA,NA
"1623","Portland","15","11","317","44","89","0","1","20","25","38","80","11","1","13","16","35","108",".494",".800",".540","16.6","115","111","21.1","7.2","5.3","0.7","lopezro01",".000",NA
"1624","Sacramento","25","17","542","93","178","0","1","50","65","69","140","15","5","24","25","57","236",".522",".769",".571","18.7","119","107","21.7","9.4","5.6","0.6","lopezro01",".000",NA
"1625","San Antonio","26","17","565","83","167","0","0","29","38","52","121","19","4","24","23","39","195",".497",".763",".531","16.3","108","110","21.7","7.5","4.7","0.7","lopezro01",NA,NA
"1626","Toronto","15","12","311","53","99","0","0","19","28","32","76","6","2","17","14","34","125",".535",".679",".561","18.5","112","111","20.7","8.3","5.1","0.4","lopezro01",NA,NA
"1627","Utah","27","21","663","111","209","0","0","45","67","73","169","9","9","39","20","67","267",".531",".672",".560","17.9","117","107","24.6","9.9","6.3","0.3","lopezro01",NA,NA
"1628","Washington","15","12","377","49","97","0","0","18","23","39","80","13","4","22","21","26","116",".505",".783",".541","14.8","105","106","25.1","7.7","5.3","0.9","lopezro01",NA,NA
"1629","Total","439","92","7360","847","1582","0","6","555","930","629","1898","211","231","318","403","1120","2249",".535",".597",".565","14.8","105","100","16.8","5.1","4.3","0.5","mahinia01",".000",NA
"1630","Home","226","46","3791","459","841","0","1","290","506","344","1008","118","125","147","200","554","1208",".546",".573",".568","15.1","108","98","16.8","5.3","4.5","0.5","mahinia01",".000",NA
"1631","Road","213","46","3569","388","741","0","5","265","424","285","890","93","106","171","203","566","1041",".524",".625",".561","14.5","103","101","16.8","4.9","4.2","0.4","mahinia01",".000",NA
